student_id,question_id,concept,difficulty,score,time_spent,attempt_no,timestamp
8,79,Concept_7,Medium,1,109,2,2025-11-30 12:12:39.698012
33,3,Concept_2,Hard,0,229,1,2025-11-30 12:12:40.077160
5,49,Concept_6,Medium,0,205,1,2025-11-30 13:12:39.650471
9,35,Concept_8,Easy,1,301,1,2025-11-30 13:12:39.713825
34,65,Concept_4,Hard,0,151,2,2025-11-30 13:12:40.091981
36,11,Concept_2,Easy,1,34,1,2025-11-30 14:12:40.121829
13,42,Concept_7,Easy,1,121,2,2025-11-30 15:12:39.777163
22,46,Concept_3,Medium,1,129,1,2025-11-30 15:12:39.912773
30,25,Concept_7,Medium,0,182,1,2025-11-30 15:12:40.032478
49,30,Concept_7,Hard,1,41,1,2025-11-30 15:12:40.322090
15,49,Concept_6,Medium,1,127,1,2025-11-30 16:12:39.808670
18,75,Concept_5,Medium,0,197,1,2025-11-30 16:12:39.853128
27,1,Concept_2,Easy,1,85,2,2025-11-30 16:12:39.987528
1,13,Concept_5,Easy,0,245,1,2025-11-30 18:12:39.586699
19,42,Concept_7,Easy,0,235,1,2025-11-30 18:12:39.867954
24,27,Concept_1,Medium,0,119,1,2025-11-30 18:12:39.942812
12,46,Concept_3,Medium,1,216,1,2025-11-30 19:12:39.761749
17,28,Concept_5,Easy,0,182,1,2025-11-30 21:12:39.838422
19,37,Concept_7,Hard,0,106,2,2025-11-30 21:12:39.868201
33,32,Concept_4,Hard,0,94,2,2025-11-30 21:12:40.077404
22,61,Concept_1,Easy,0,177,1,2025-11-30 22:12:39.913019
14,20,Concept_8,Hard,0,140,1,2025-11-30 23:12:39.794003
39,77,Concept_1,Hard,1,228,1,2025-11-30 23:12:40.166581
48,52,Concept_2,Hard,0,356,1,2025-11-30 23:12:40.307431
4,49,Concept_6,Medium,0,239,1,2025-12-01 00:12:39.635421
34,27,Concept_1,Medium,0,72,2,2025-12-01 00:12:40.092229
44,6,Concept_1,Hard,0,110,3,2025-12-01 00:12:40.248025
45,70,Concept_8,Hard,0,422,3,2025-12-01 00:12:40.262906
3,35,Concept_8,Easy,1,177,3,2025-12-01 01:12:39.619458
15,79,Concept_7,Medium,0,155,1,2025-12-01 01:12:39.808918
16,5,Concept_2,Easy,0,91,1,2025-12-01 01:12:39.823785
24,55,Concept_4,Hard,0,283,1,2025-12-01 01:12:39.943059
31,42,Concept_7,Easy,0,232,1,2025-12-01 01:12:40.047743
46,80,Concept_4,Medium,0,87,1,2025-12-01 01:12:40.277760
1,46,Concept_3,Medium,1,181,1,2025-12-01 02:12:39.587052
11,33,Concept_7,Hard,0,61,2,2025-12-01 03:12:39.746310
42,71,Concept_2,Easy,1,159,3,2025-12-01 03:12:40.212331
35,16,Concept_4,Hard,0,106,2,2025-12-01 04:12:40.107183
28,75,Concept_5,Medium,0,265,2,2025-12-01 05:12:40.002567
6,42,Concept_7,Easy,1,164,1,2025-12-01 06:12:39.666498
29,19,Concept_2,Medium,0,213,1,2025-12-01 06:12:40.017604
43,25,Concept_7,Medium,1,101,1,2025-12-01 06:12:40.233191
30,26,Concept_6,Easy,0,359,1,2025-12-01 07:12:40.032726
13,33,Concept_7,Hard,1,32,2,2025-12-01 08:12:39.777434
21,26,Concept_6,Easy,1,198,1,2025-12-01 08:12:39.898114
36,35,Concept_8,Easy,0,317,1,2025-12-01 08:12:40.122081
32,13,Concept_5,Easy,1,184,1,2025-12-01 09:12:40.062657
47,65,Concept_4,Hard,1,107,2,2025-12-01 10:12:40.292575
23,19,Concept_2,Medium,1,95,2,2025-12-01 12:12:39.927961
50,73,Concept_4,Easy,1,25,1,2025-12-01 12:12:40.337160
18,58,Concept_2,Easy,0,78,1,2025-12-01 13:12:39.853376
20,26,Concept_6,Easy,1,224,1,2025-12-01 13:12:39.883166
26,5,Concept_2,Easy,1,71,1,2025-12-01 13:12:39.972873
27,77,Concept_1,Hard,0,243,1,2025-12-01 13:12:39.987771
37,41,Concept_6,Easy,0,88,1,2025-12-01 13:12:40.136971
41,34,Concept_6,Easy,0,327,1,2025-12-01 14:12:40.196721
5,67,Concept_7,Easy,1,62,3,2025-12-01 15:12:39.650720
8,77,Concept_1,Hard,0,265,2,2025-12-01 15:12:39.698274
10,46,Concept_3,Medium,0,214,2,2025-12-01 15:12:39.730722
38,76,Concept_2,Medium,0,253,2,2025-12-01 15:12:40.151871
40,66,Concept_8,Easy,1,178,3,2025-12-01 15:12:40.181562
49,74,Concept_3,Medium,0,243,1,2025-12-01 15:12:40.322344
7,47,Concept_1,Hard,0,132,3,2025-12-01 16:12:39.682666
9,25,Concept_7,Medium,0,208,1,2025-12-01 17:12:39.714092
25,39,Concept_5,Hard,0,233,1,2025-12-01 17:12:39.958010
2,47,Concept_1,Hard,0,132,2,2025-12-01 18:12:39.603296
42,24,Concept_4,Easy,1,108,1,2025-12-01 19:12:40.212601
48,30,Concept_7,Hard,0,50,1,2025-12-01 19:12:40.307677
3,51,Concept_2,Hard,0,421,1,2025-12-01 21:12:39.619768
5,52,Concept_2,Hard,0,260,2,2025-12-01 22:12:39.651342
25,43,Concept_1,Hard,0,58,1,2025-12-01 22:12:39.958256
17,47,Concept_1,Hard,0,170,1,2025-12-01 23:12:39.838779
18,7,Concept_7,Easy,1,39,1,2025-12-01 23:12:39.853621
19,29,Concept_6,Easy,1,154,1,2025-12-01 23:12:39.868446
23,75,Concept_5,Medium,1,165,1,2025-12-01 23:12:39.928203
43,67,Concept_7,Easy,1,60,1,2025-12-01 23:12:40.233443
37,50,Concept_1,Easy,0,114,1,2025-12-02 00:12:40.137217
1,71,Concept_2,Easy,1,148,1,2025-12-02 01:12:39.587342
24,32,Concept_4,Hard,0,66,2,2025-12-02 01:12:39.943305
34,75,Concept_5,Medium,0,317,1,2025-12-02 01:12:40.092476
35,16,Concept_4,Hard,0,101,1,2025-12-02 02:12:40.107428
14,12,Concept_2,Medium,1,168,2,2025-12-02 03:12:39.794256
46,46,Concept_3,Medium,1,192,2,2025-12-02 03:12:40.278005
22,79,Concept_7,Medium,0,134,1,2025-12-02 04:12:39.913264
26,18,Concept_5,Easy,0,230,1,2025-12-02 04:12:39.973118
2,78,Concept_2,Easy,1,34,1,2025-12-02 05:12:39.603546
6,66,Concept_8,Easy,1,142,1,2025-12-02 05:12:39.666772
11,28,Concept_5,Easy,0,227,1,2025-12-02 05:12:39.746563
12,73,Concept_4,Easy,0,33,2,2025-12-02 06:12:39.762005
40,43,Concept_1,Hard,0,48,1,2025-12-02 06:12:40.181806
15,65,Concept_4,Hard,0,124,1,2025-12-02 10:12:39.809163
16,37,Concept_7,Hard,0,146,1,2025-12-02 10:12:39.824040
32,36,Concept_2,Easy,0,245,1,2025-12-02 10:12:40.062899
31,27,Concept_1,Medium,1,62,1,2025-12-02 11:12:40.047989
33,62,Concept_4,Easy,1,68,1,2025-12-02 11:12:40.077648
47,37,Concept_7,Hard,0,155,1,2025-12-02 11:12:40.292819
4,48,Concept_8,Easy,1,113,2,2025-12-02 12:12:39.635698
8,17,Concept_1,Hard,0,119,2,2025-12-02 12:12:39.698527
10,17,Concept_1,Hard,0,117,2,2025-12-02 12:12:39.730975
27,3,Concept_2,Hard,0,209,1,2025-12-02 12:12:39.988018
9,19,Concept_2,Medium,1,127,1,2025-12-02 13:12:39.714356
38,31,Concept_3,Medium,1,123,1,2025-12-02 13:12:40.152122
45,68,Concept_2,Hard,0,277,1,2025-12-02 13:12:40.263152
50,37,Concept_7,Hard,1,90,2,2025-12-02 13:12:40.337409
20,26,Concept_6,Easy,1,215,1,2025-12-02 14:12:39.883410
29,49,Concept_6,Medium,1,174,1,2025-12-02 14:12:40.017851
30,57,Concept_8,Hard,0,61,1,2025-12-02 14:12:40.032972
41,70,Concept_8,Hard,0,284,3,2025-12-02 14:12:40.196972
21,15,Concept_5,Hard,0,110,1,2025-12-02 15:12:39.898355
49,40,Concept_2,Hard,0,132,1,2025-12-02 15:12:40.322591
7,37,Concept_7,Hard,0,140,1,2025-12-02 16:12:39.682927
13,54,Concept_3,Medium,0,252,1,2025-12-02 16:12:39.777791
28,22,Concept_4,Hard,0,100,1,2025-12-02 16:12:40.002815
44,59,Concept_2,Medium,1,25,1,2025-12-02 16:12:40.248269
36,28,Concept_5,Easy,1,166,1,2025-12-02 18:12:40.122327
39,55,Concept_4,Hard,0,175,1,2025-12-02 18:12:40.166878
38,36,Concept_2,Easy,1,221,1,2025-12-02 19:12:40.152369
12,33,Concept_7,Hard,0,53,2,2025-12-02 21:12:39.762354
35,11,Concept_2,Easy,1,22,1,2025-12-02 21:12:40.107675
18,72,Concept_6,Easy,1,61,1,2025-12-02 22:12:39.853867
39,43,Concept_1,Hard,0,56,2,2025-12-02 22:12:40.167213
4,11,Concept_2,Easy,0,52,1,2025-12-02 23:12:39.635952
32,3,Concept_2,Hard,1,229,1,2025-12-02 23:12:40.063141
7,40,Concept_2,Hard,1,113,1,2025-12-03 00:12:39.683386
19,23,Concept_2,Hard,1,107,1,2025-12-03 00:12:39.868689
26,2,Concept_4,Easy,1,261,1,2025-12-03 00:12:39.973361
10,75,Concept_5,Medium,1,184,1,2025-12-03 01:12:39.731422
11,73,Concept_4,Easy,1,21,1,2025-12-03 01:12:39.746913
42,35,Concept_8,Easy,1,289,2,2025-12-03 01:12:40.212845
49,71,Concept_2,Easy,1,201,1,2025-12-03 01:12:40.322835
2,75,Concept_5,Medium,0,238,1,2025-12-03 02:12:39.603813
16,43,Concept_1,Hard,0,49,3,2025-12-03 02:12:39.824289
50,74,Concept_3,Medium,0,292,1,2025-12-03 02:12:40.337654
44,49,Concept_6,Medium,0,166,1,2025-12-03 03:12:40.248513
5,62,Concept_4,Easy,1,81,1,2025-12-03 04:12:39.651627
28,10,Concept_3,Easy,1,167,1,2025-12-03 04:12:40.003063
20,63,Concept_6,Easy,0,371,1,2025-12-03 05:12:39.883653
27,57,Concept_8,Hard,1,51,3,2025-12-03 05:12:39.988260
40,9,Concept_7,Medium,0,228,1,2025-12-03 05:12:40.182049
45,32,Concept_4,Hard,0,102,1,2025-12-03 05:12:40.263396
1,15,Concept_5,Hard,0,77,3,2025-12-03 06:12:39.587630
3,19,Concept_2,Medium,0,203,2,2025-12-03 06:12:39.620043
8,4,Concept_7,Easy,0,185,2,2025-12-03 06:12:39.698781
31,40,Concept_2,Hard,1,118,2,2025-12-03 06:12:40.048235
41,54,Concept_3,Medium,0,371,1,2025-12-03 06:12:40.197223
48,4,Concept_7,Easy,1,130,2,2025-12-03 06:12:40.307931
13,3,Concept_2,Hard,0,244,2,2025-12-03 07:12:39.778059
6,52,Concept_2,Hard,0,316,1,2025-12-03 08:12:39.667035
22,16,Concept_4,Hard,1,64,1,2025-12-03 10:12:39.913511
29,21,Concept_3,Medium,0,284,1,2025-12-03 11:12:40.018117
37,60,Concept_4,Hard,0,149,2,2025-12-03 11:12:40.137465
36,7,Concept_7,Easy,1,31,2,2025-12-03 12:12:40.122572
46,3,Concept_2,Hard,1,155,1,2025-12-03 12:12:40.278251
14,48,Concept_8,Easy,1,172,1,2025-12-03 13:12:39.794503
17,31,Concept_3,Medium,1,126,3,2025-12-03 13:12:39.839060
24,76,Concept_2,Medium,0,282,1,2025-12-03 13:12:39.943552
25,16,Concept_4,Hard,0,69,1,2025-12-03 13:12:39.958502
33,53,Concept_3,Hard,1,253,2,2025-12-03 15:12:40.077891
15,23,Concept_2,Hard,0,167,1,2025-12-03 16:12:39.809408
30,54,Concept_3,Medium,0,339,1,2025-12-03 16:12:40.033218
21,14,Concept_2,Medium,1,51,1,2025-12-03 17:12:39.898596
34,33,Concept_7,Hard,0,64,2,2025-12-03 17:12:40.092726
43,38,Concept_7,Medium,0,63,1,2025-12-03 17:12:40.233705
47,13,Concept_5,Easy,1,186,1,2025-12-03 17:12:40.293064
9,53,Concept_3,Hard,0,264,3,2025-12-03 18:12:39.714622
23,3,Concept_2,Hard,0,195,1,2025-12-03 18:12:39.928448
16,76,Concept_2,Medium,0,271,3,2025-12-03 19:12:39.824536
30,2,Concept_4,Easy,1,165,2,2025-12-03 19:12:40.033463
35,17,Concept_1,Hard,0,157,1,2025-12-03 19:12:40.107920
27,62,Concept_4,Easy,1,89,2,2025-12-03 20:12:39.988502
36,69,Concept_6,Medium,1,51,1,2025-12-03 20:12:40.122816
44,60,Concept_4,Hard,0,162,1,2025-12-03 20:12:40.248761
48,2,Concept_4,Easy,1,264,2,2025-12-03 20:12:40.308175
6,26,Concept_6,Easy,0,261,1,2025-12-03 21:12:39.667552
33,2,Concept_4,Easy,1,178,1,2025-12-03 21:12:40.078132
19,79,Concept_7,Medium,0,146,3,2025-12-03 22:12:39.868931
49,54,Concept_3,Medium,0,331,1,2025-12-03 22:12:40.323080
50,53,Concept_3,Hard,0,339,1,2025-12-03 22:12:40.337908
2,60,Concept_4,Hard,0,149,1,2025-12-03 23:12:39.604148
4,19,Concept_2,Medium,0,195,1,2025-12-03 23:12:39.636200
24,2,Concept_4,Easy,0,343,1,2025-12-03 23:12:39.943800
39,23,Concept_2,Hard,0,117,1,2025-12-03 23:12:40.167482
43,39,Concept_5,Hard,0,318,1,2025-12-03 23:12:40.233950
29,37,Concept_7,Hard,0,124,3,2025-12-04 00:12:40.018369
25,23,Concept_2,Hard,0,124,1,2025-12-04 01:12:39.958747
22,43,Concept_1,Hard,0,34,3,2025-12-04 02:12:39.913755
45,60,Concept_4,Hard,0,159,3,2025-12-04 02:12:40.263645
37,68,Concept_2,Hard,0,217,2,2025-12-04 03:12:40.137710
8,38,Concept_7,Medium,1,32,2,2025-12-04 04:12:39.699303
26,70,Concept_8,Hard,0,319,1,2025-12-04 04:12:39.973605
41,70,Concept_8,Hard,0,397,2,2025-12-04 04:12:40.197477
21,49,Concept_6,Medium,0,231,1,2025-12-04 05:12:39.898841
31,7,Concept_7,Easy,0,51,1,2025-12-04 06:12:40.048479
40,44,Concept_3,Hard,0,267,1,2025-12-04 06:12:40.182292
5,72,Concept_6,Easy,0,80,2,2025-12-04 07:12:39.651885
32,36,Concept_2,Easy,1,193,1,2025-12-04 07:12:40.063383
9,33,Concept_7,Hard,0,43,1,2025-12-04 09:12:39.715156
14,68,Concept_2,Hard,0,316,2,2025-12-04 09:12:39.794750
23,58,Concept_2,Easy,0,119,2,2025-12-04 09:12:39.928690
34,26,Concept_6,Easy,0,278,2,2025-12-04 10:12:40.092975
47,67,Concept_7,Easy,1,59,1,2025-12-04 10:12:40.293310
3,25,Concept_7,Medium,0,179,1,2025-12-04 11:12:39.620320
17,6,Concept_1,Hard,0,109,2,2025-12-04 12:12:39.839318
18,18,Concept_5,Easy,0,245,1,2025-12-04 12:12:39.854110
42,17,Concept_1,Hard,0,104,1,2025-12-04 12:12:40.213090
1,1,Concept_2,Easy,0,191,1,2025-12-04 13:12:39.587913
7,40,Concept_2,Hard,0,146,2,2025-12-04 14:12:39.683661
12,10,Concept_3,Easy,1,164,1,2025-12-04 14:12:39.762629
13,26,Concept_6,Easy,1,180,1,2025-12-04 14:12:39.778330
10,4,Concept_7,Easy,1,186,1,2025-12-04 15:12:39.731709
11,62,Concept_4,Easy,0,130,1,2025-12-04 16:12:39.747189
20,75,Concept_5,Medium,0,323,1,2025-12-04 16:12:39.883900
15,41,Concept_6,Easy,1,47,1,2025-12-04 18:12:39.809652
28,63,Concept_6,Easy,1,260,1,2025-12-04 18:12:40.003309
38,43,Concept_1,Hard,1,22,2,2025-12-04 18:12:40.152613
46,14,Concept_2,Medium,0,97,2,2025-12-04 18:12:40.278499
19,2,Concept_4,Easy,1,162,2,2025-12-04 19:12:39.869174
27,56,Concept_5,Medium,0,245,1,2025-12-04 19:12:39.988748
41,64,Concept_5,Hard,0,189,2,2025-12-04 19:12:40.197860
10,35,Concept_8,Easy,0,255,1,2025-12-04 20:12:39.731976
12,41,Concept_6,Easy,1,36,2,2025-12-04 20:12:39.762890
20,13,Concept_5,Easy,0,358,1,2025-12-04 21:12:39.884142
32,77,Concept_1,Hard,0,219,2,2025-12-04 21:12:40.063625
47,34,Concept_6,Easy,0,427,2,2025-12-04 21:12:40.293553
1,51,Concept_2,Hard,0,267,1,2025-12-04 22:12:39.588345
6,60,Concept_4,Hard,0,158,1,2025-12-04 22:12:39.667896
24,24,Concept_4,Easy,1,78,1,2025-12-04 22:12:39.944044
25,53,Concept_3,Hard,0,350,1,2025-12-04 23:12:39.958994
7,4,Concept_7,Easy,1,179,1,2025-12-05 02:12:39.683918
14,25,Concept_7,Medium,0,224,1,2025-12-05 02:12:39.794994
22,10,Concept_3,Easy,0,232,1,2025-12-05 02:12:39.913997
37,21,Concept_3,Medium,0,300,1,2025-12-05 02:12:40.137954
2,66,Concept_8,Easy,1,143,3,2025-12-05 03:12:39.604420
30,61,Concept_1,Easy,1,106,1,2025-12-05 03:12:40.033709
33,9,Concept_7,Medium,0,241,1,2025-12-05 04:12:40.078378
4,78,Concept_2,Easy,0,57,1,2025-12-05 05:12:39.636452
29,77,Concept_1,Hard,1,222,1,2025-12-05 05:12:40.018619
36,42,Concept_7,Easy,1,93,1,2025-12-05 05:12:40.123058
48,25,Concept_7,Medium,0,177,1,2025-12-05 05:12:40.308419
50,25,Concept_7,Medium,1,128,1,2025-12-05 05:12:40.338154
31,39,Concept_5,Hard,0,310,1,2025-12-05 06:12:40.048722
45,47,Concept_1,Hard,0,112,1,2025-12-05 08:12:40.263890
38,45,Concept_5,Hard,0,138,3,2025-12-05 09:12:40.152859
49,30,Concept_7,Hard,0,58,1,2025-12-05 09:12:40.323326
15,30,Concept_7,Hard,0,50,3,2025-12-05 10:12:39.809895
16,11,Concept_2,Easy,0,39,1,2025-12-05 10:12:39.824781
26,22,Concept_4,Hard,0,77,1,2025-12-05 10:12:39.973856
34,49,Concept_6,Medium,0,251,1,2025-12-05 10:12:40.093220
43,16,Concept_4,Hard,1,62,1,2025-12-05 11:12:40.234194
8,2,Concept_4,Easy,1,282,1,2025-12-05 13:12:39.699583
40,59,Concept_2,Medium,1,30,1,2025-12-05 13:12:40.182746
9,12,Concept_2,Medium,0,354,1,2025-12-05 14:12:39.715452
17,60,Concept_4,Hard,0,174,1,2025-12-05 14:12:39.839569
18,34,Concept_6,Easy,1,260,2,2025-12-05 14:12:39.854467
28,50,Concept_1,Easy,0,124,1,2025-12-05 14:12:40.003550
44,7,Concept_7,Easy,1,44,1,2025-12-05 14:12:40.249011
5,77,Concept_1,Hard,0,277,1,2025-12-05 15:12:39.652151
46,42,Concept_7,Easy,1,161,2,2025-12-05 15:12:40.278742
13,21,Concept_3,Medium,0,170,1,2025-12-05 16:12:39.778606
23,45,Concept_5,Hard,0,145,1,2025-12-05 16:12:39.928933
39,44,Concept_3,Hard,0,244,1,2025-12-05 16:12:40.167743
21,65,Concept_4,Hard,0,144,1,2025-12-05 17:12:39.899085
3,20,Concept_8,Hard,0,134,1,2025-12-05 18:12:39.620605
11,30,Concept_7,Hard,0,40,2,2025-12-05 18:12:39.747440
35,11,Concept_2,Easy,0,33,1,2025-12-05 18:12:40.108165
42,56,Concept_5,Medium,0,328,2,2025-12-05 18:12:40.213418
39,74,Concept_3,Medium,0,366,2,2025-12-05 19:12:40.167998
10,53,Concept_3,Hard,0,441,1,2025-12-05 20:12:39.732243
28,27,Concept_1,Medium,0,95,2,2025-12-05 20:12:40.003791
46,74,Concept_3,Medium,1,243,1,2025-12-05 20:12:40.278991
47,8,Concept_5,Easy,0,264,1,2025-12-05 20:12:40.293795
1,24,Concept_4,Easy,1,124,2,2025-12-05 21:12:39.588715
21,18,Concept_5,Easy,1,155,1,2025-12-05 21:12:39.899327
16,19,Concept_2,Medium,1,122,2,2025-12-05 22:12:39.825025
17,10,Concept_3,Easy,1,210,2,2025-12-05 22:12:39.839817
23,41,Concept_6,Easy,1,54,1,2025-12-05 23:12:39.929175
7,56,Concept_5,Medium,1,170,2,2025-12-06 00:12:39.684169
8,72,Concept_6,Easy,1,78,1,2025-12-06 00:12:39.699855
9,68,Concept_2,Hard,0,335,1,2025-12-06 01:12:39.715728
18,14,Concept_2,Medium,0,110,2,2025-12-06 01:12:39.854741
36,32,Concept_4,Hard,0,86,1,2025-12-06 01:12:40.123302
42,33,Concept_7,Hard,0,43,1,2025-12-06 01:12:40.213904
25,30,Concept_7,Hard,1,43,1,2025-12-06 02:12:39.959237
43,69,Concept_6,Medium,0,44,1,2025-12-06 02:12:40.234439
49,46,Concept_3,Medium,0,266,1,2025-12-06 02:12:40.323570
20,59,Concept_2,Medium,1,28,1,2025-12-06 03:12:39.884388
44,33,Concept_7,Hard,0,59,2,2025-12-06 03:12:40.249255
50,25,Concept_7,Medium,1,149,2,2025-12-06 03:12:40.338398
38,31,Concept_3,Medium,1,175,3,2025-12-06 05:12:40.153103
45,49,Concept_6,Medium,0,159,2,2025-12-06 05:12:40.264134
19,13,Concept_5,Easy,0,296,2,2025-12-06 07:12:39.869416
31,23,Concept_2,Hard,0,161,1,2025-12-06 07:12:40.048967
40,15,Concept_5,Hard,0,74,1,2025-12-06 07:12:40.183002
2,30,Concept_7,Hard,0,52,1,2025-12-06 08:12:39.604701
5,27,Concept_1,Medium,0,104,1,2025-12-06 08:12:39.652405
6,38,Concept_7,Medium,0,86,2,2025-12-06 08:12:39.668199
32,29,Concept_6,Easy,0,160,3,2025-12-06 08:12:40.063865
37,2,Concept_4,Easy,0,433,1,2025-12-06 08:12:40.138199
3,63,Concept_6,Easy,1,158,2,2025-12-06 09:12:39.620869
12,28,Concept_5,Easy,0,209,2,2025-12-06 09:12:39.763145
13,12,Concept_2,Medium,1,278,1,2025-12-06 09:12:39.778876
34,70,Concept_8,Hard,1,287,1,2025-12-06 12:12:40.093465
4,74,Concept_3,Medium,1,211,1,2025-12-06 13:12:39.636707
14,63,Concept_6,Easy,1,255,1,2025-12-06 13:12:39.795239
30,19,Concept_2,Medium,0,222,1,2025-12-06 13:12:40.033952
15,43,Concept_1,Hard,0,60,1,2025-12-06 14:12:39.810140
29,57,Concept_8,Hard,0,55,1,2025-12-06 14:12:40.018867
41,33,Concept_7,Hard,0,69,1,2025-12-06 15:12:40.198117
48,4,Concept_7,Easy,1,186,1,2025-12-06 15:12:40.308661
11,57,Concept_8,Hard,0,56,2,2025-12-06 16:12:39.747693
26,66,Concept_8,Easy,1,161,1,2025-12-06 16:12:39.974101
22,36,Concept_2,Easy,0,368,1,2025-12-06 17:12:39.914241
33,6,Concept_1,Hard,0,81,1,2025-12-06 17:12:40.078622
24,8,Concept_5,Easy,0,275,1,2025-12-06 18:12:39.944289
27,74,Concept_3,Medium,0,387,1,2025-12-06 18:12:39.988993
35,40,Concept_2,Hard,0,193,1,2025-12-06 18:12:40.108408
21,18,Concept_5,Easy,1,150,1,2025-12-06 19:12:39.899568
22,46,Concept_3,Medium,1,213,3,2025-12-06 19:12:39.914482
45,67,Concept_7,Easy,1,54,3,2025-12-06 19:12:40.264384
16,32,Concept_4,Hard,0,115,1,2025-12-06 20:12:39.825273
33,23,Concept_2,Hard,0,129,1,2025-12-06 20:12:40.078864
34,22,Concept_4,Hard,1,64,1,2025-12-06 20:12:40.093709
36,24,Concept_4,Easy,0,162,1,2025-12-06 21:12:40.123550
49,76,Concept_2,Medium,0,238,2,2025-12-06 21:12:40.323813
28,55,Concept_4,Hard,1,155,1,2025-12-06 22:12:40.004032
30,15,Concept_5,Hard,0,98,2,2025-12-06 22:12:40.034197
47,55,Concept_4,Hard,1,133,1,2025-12-06 22:12:40.294038
1,41,Concept_6,Easy,0,86,1,2025-12-06 23:12:39.589014
43,53,Concept_3,Hard,0,268,1,2025-12-06 23:12:40.234686
42,66,Concept_8,Easy,1,152,1,2025-12-07 00:12:40.214298
48,45,Concept_5,Hard,1,95,1,2025-12-07 00:12:40.308905
14,14,Concept_2,Medium,0,76,1,2025-12-07 01:12:39.795484
23,28,Concept_5,Easy,1,169,1,2025-12-07 01:12:39.929417
31,74,Concept_3,Medium,1,228,2,2025-12-07 02:12:40.049214
50,19,Concept_2,Medium,0,196,2,2025-12-07 02:12:40.338642
2,40,Concept_2,Hard,0,167,1,2025-12-07 03:12:39.604961
26,23,Concept_2,Hard,1,111,2,2025-12-07 03:12:39.974345
7,46,Concept_3,Medium,0,184,2,2025-12-07 05:12:39.684509
17,26,Concept_6,Easy,1,250,3,2025-12-07 05:12:39.840064
19,24,Concept_4,Easy,0,112,2,2025-12-07 05:12:39.869661
24,73,Concept_4,Easy,0,47,1,2025-12-07 05:12:39.944535
20,22,Concept_4,Hard,1,58,3,2025-12-07 06:12:39.884631
3,80,Concept_4,Medium,0,80,1,2025-12-07 07:12:39.621121
8,77,Concept_1,Hard,0,304,2,2025-12-07 07:12:39.700116
13,74,Concept_3,Medium,0,291,3,2025-12-07 07:12:39.779140
15,49,Concept_6,Medium,1,132,3,2025-12-07 07:12:39.810388
25,25,Concept_7,Medium,0,146,1,2025-12-07 07:12:39.959481
32,23,Concept_2,Hard,0,134,1,2025-12-07 07:12:40.064111
9,70,Concept_8,Hard,1,192,3,2025-12-07 08:12:39.716001
10,68,Concept_2,Hard,1,255,2,2025-12-07 09:12:39.732497
37,76,Concept_2,Medium,0,335,1,2025-12-07 09:12:40.138443
44,79,Concept_7,Medium,0,129,2,2025-12-07 09:12:40.249499
27,38,Concept_7,Medium,0,62,1,2025-12-07 10:12:39.989235
